"%s is not for sale","%s n'est pas en vente"
"Catalog Permissions cache","Catalog Permissions cache"
"Catalog Permissions","Catalog Permissions"
"Disable product for","Désactive le produit pour"
"Disabled products and categories by customer group","Désactivation de produits et de catégories par groupe client"
"global value","Valeur globale"
"Hide category for a specific customer group","Cache la catégorie à un groupe spécifique de clients"
"Hide category for users from MSS segment","Cache la catégorie our les clients du segment de MSS"
"Hide price for group","Cache les prix pour le groupe"
"Hide product price for","Cacher les prix des produits pour"
"Hide product for users from MSS segment","Cacher les produits pour les clients du segment MSS"
"Hide product price for users from MSS segment","Cacher les prix des produits pour les clients du segment MSS"
"MSS is not installed or not up to date","MSS n'est pas installé ou à jour"
"Notice for product with disabled price to explain to customer","Notification pour les produits avec prix caché pour expliquer au visiteur"
"Permissions","Permissions"
"Product with disabled price notice","Texte désactivé quand le prix est caché"
"Redirect from category notice tooltip","Notification affichée au visiteur après redirection d'une page catégorie inaccessible. On peut utiliser du HTML."
"Redirect from category notice"," Notification affichée après redirection d'une page catégorie"
"Redirect from category tooltip","Un client avec des accès insuffisants à une catégorie sera redirigé vers une page spécifiée. Entrez l'URL longue ou courte pour rediriger vers le magasin. Par exemple, vous pouvez entrer 'http://example.com/customer-service' ou 'customer-service' sans les guillements."
"Redirect from category","Redirection de la page catégorie vers"
"Redirect from product notice tooltip","Notification affichée aux visiteurs après redirection d'une page produit inaccessible. On peut utiliser du HTML."
"Redirect from product notice"," Notification affichée après redirection depuis une page produit"
"Redirect from product tooltip","Un client avec des accès insuffisants à un produit sera redirigé vers une page spécifiée. Entrez l'URL longue ou courte pour rediriger vers le magasin. Par exemple, vous pouvez entrer 'http://example.com/customer-service' ou 'customer-service' sans les guillements."
"Redirect from product","Redirection depuis la page produit vers"
"This MSS segment, if selected, will replace the customer group selection for the appropriate setting","Ce segment MSS, si sélectionné, va remplacer la sélection du groupe client pour les paramètres appropriés."
"This MSS rule adds to selected customer groups as AND condition","Cette règle MSS ajoute au groupe client sélectionné comme condition ET--!!??--"
"This value adds to %s","Cette valeur ajoute à %s"
"You do not have permission to access this page","Vous n'avez pas l'autorisation pour accéder à cette page"
